MatchID,MatchIDinofficial,MatchDay,MatchNum,HomeTeam.TeamNameEN,AwayTeam.TeamNameEN,MatchTime
87edd080-ad00-48bf-8973-9113494da276,20220430SAT108,SAT,108,Cuiaba,Atletico Goianiense,2022-05-01 06:00:00
42ba747c-37a6-4819-ad71-5fb148091b05,20220430SAT112,SAT,112,Columbus Crew,DC United,2022-05-01 07:30:00
a1d095fd-831e-447c-b351-a50fb61f58c3,20220430SAT113,SAT,113,New England Revolution,Inter Miami CF,2022-05-01 07:30:00
9dc4bb16-4847-4b00-9ae7-cc39e281b1d4,20220430SAT114,SAT,114,Orlando City,Charlotte FC,2022-05-01 07:30:00
e6f1a96c-0780-477f-b61d-9cb6b28fe10d,20220430SAT115,SAT,115,Chicago Fire,New York Red Bulls,2022-05-01 08:00:00
d2d8dea3-cf5b-47a0-9b1a-47986f0d41f0,20220430SAT120,SAT,120,Sporting Kansas City,FC Dallas,2022-05-01 08:30:00
683851a3-39e3-453e-951d-ad19e529dadf,20220430SAT121,SAT,121,Colorado Rapids,Portland Timbers,2022-05-01 09:00:00
e9f6d63d-4df9-43a3-81a6-3f3e40b9f23a,20220501SUN1,SUN,1,Iwate Grulla Morioka,Roasso Kumamoto,2022-05-01 12:00:00
0333dc60-9911-47e9-b1f2-29c1bb44cfb3,20220501SUN2,SUN,2,Fagiano Okayama,Tokyo Verdy,2022-05-01 12:00:00
2448b338-ba5e-4ece-992d-5f4d7ce508e8,20220501SUN3,SUN,3,Machida Zelvia,Tokushima Vortis,2022-05-01 13:00:00
92488d35-db72-45e9-8f1f-cfd6a0afa851,20220501SUN4,SUN,4,Montedio Yamagata,V-Varen Nagasaki,2022-05-01 13:00:00
97d91be3-8e83-4d22-8165-1479416ca2a4,20220501SUN5,SUN,5,Thespakusatsu Gunma,FC Yokohama,2022-05-01 13:00:00
362a6416-28ed-457d-853c-4f34445f326e,20220501SUN6,SUN,6,Zweigen Kanazawa,Omiya Ardija,2022-05-01 13:00:00
d9e2473d-9283-49e3-a31d-6400960aa275,20220501SUN7,SUN,7,Macarthur FC,Newcastle Jets,2022-05-01 14:05:00
340c7fb0-e8c7-4324-a889-b8154770516a,20220501SUN8,SUN,8,Vegalta Sendai,Blaublitz Akita,2022-05-01 15:00:00
a1daa46b-cdf2-404c-a54b-b916dee59a45,20220501SUN9,SUN,9,Heerenveen,Cambuur,2022-05-01 18:15:00
b4806830-17b6-40cb-9944-679a0780b592,20220501SUN10,SUN,10,Juventus,Venezia,2022-05-01 18:30:00
6faee0ab-18e9-4cd7-b4d5-baa6183cd3b3,20220501SUN11,SUN,11,Troyes,Lille,2022-05-01 19:00:00
d7fca452-a355-460b-82e5-bb96f8a4872b,20220501SUN12,SUN,12,Celtic,Rangers,2022-05-01 19:00:00
7dae7866-c259-4caa-b7be-fa7e138d4d68,20220501SUN15,SUN,15,Antwerp,Union Saint Gilloise,2022-05-01 19:30:00
9cffcee0-51fb-4107-bdff-97fbe92702e5,20220501SUN16,SUN,16,CF Elche,Osasuna,2022-05-01 20:00:00
a9c033d9-b129-4907-a9c6-6e0011914fa8,20220501SUN18,SUN,18,Go Ahead Eagles,Vitesse,2022-05-01 20:30:00
21d13570-7f38-4d19-95bb-af562d80054c,20220501SUN19,SUN,19,PSV Eindhoven,Willem II,2022-05-01 20:30:00
abee914c-214f-4059-956e-348d7b429dd1,20220501SUN20,SUN,20,Everton,Chelsea,2022-05-01 21:00:00
7a272dac-b53c-4635-8fae-eb7a2ec3e49c,20220501SUN21,SUN,21,Tottenham,Leicester,2022-05-01 21:00:00
d731f586-4dc1-4495-ba86-5f5b784a58db,20220501SUN22,SUN,22,AC Milan,Fiorentina,2022-05-01 21:00:00
05fb9c34-0435-40cc-822a-1da0c4370afa,20220501SUN23,SUN,23,Empoli,AC Torino,2022-05-01 21:00:00
3c51f0c7-71a3-4794-882a-e21ef3af4db4,20220501SUN24,SUN,24,Monaco,Angers SCO,2022-05-01 21:00:00
1a5b00b1-8bfc-4365-9e50-c1e999db8b91,20220501SUN25,SUN,25,Brest,Clermont,2022-05-01 21:00:00
93e91d30-c99d-470d-bbc6-1def2a4da1ed,20220501SUN26,SUN,26,Lorient,Reims,2022-05-01 21:00:00
9ade63af-ccb1-4310-8038-6a1e9e8a3b4c,20220501SUN27,SUN,27,Montpellier,Metz,2022-05-01 21:00:00
6be51096-9b16-4bd2-8cb5-ab84589e40c5,20220501SUN28,SUN,28,Degerfors,Elfsborg,2022-05-01 21:00:00
961ad06b-88be-4985-af15-0cebc986fa3f,20220501SUN29,SUN,29,Mjallby,Helsingborgs,2022-05-01 21:00:00
4344de2c-7d63-496d-b775-1ebb758e5cdc,20220501SUN33,SUN,33,Botafogo,Juventude,2022-05-01 22:00:00
ef14e1bc-e989-410b-8da4-e2e3c22eb7d4,20220501SUN34,SUN,34,Bodo Glimt,Molde,2022-05-01 22:00:00
3c50ad53-18b1-4e8d-b54a-7ba2229be834,20220501SUN37,SUN,37,CF Granada,Celta Vigo,2022-05-01 22:15:00
eff151f8-ad9f-4c92-af87-1cabd11ba1a2,20220501SUN38,SUN,38,Guimaraes,Santa Clara,2022-05-01 22:30:00
8684bd9d-72cc-4ec3-a451-0e544a7c2c06,20220501SUN39,SUN,39,Fortuna Sittard,Feyenoord,2022-05-01 22:45:00
4317e72b-13a5-4cd2-a825-3d47f403c2c9,20220501SUN40,SUN,40,Bordeaux,Nice,2022-05-01 23:05:00
8f48ffb3-ca57-4288-8584-7bdc253436b4,20220501SUN41,SUN,41,West Ham,Arsenal,2022-05-01 23:30:00
64791813-6136-43f5-8d4f-9fbc2f005249,20220501SUN42,SUN,42,Hacken,Varbergs,2022-05-01 23:30:00
15b08cfb-ffa6-420e-b6e8-8bc40f234afd,20220501SUN43,SUN,43,Sundsvall,AIK Solna,2022-05-01 23:30:00
47b50616-1db6-4e2f-83c9-fdf6123056bd,20220501SUN44,SUN,44,Udinese,Inter Milan,2022-05-02 00:00:00
1193c801-18c8-4e8d-b99d-2b08e6576037,20220501SUN47,SUN,47,Ponferradina,Cartagena,2022-05-02 00:15:00
1bb881c2-0177-4f6e-9061-5803d7d5fa40,20220501SUN49,SUN,49,Vallecano,Real Sociedad,2022-05-02 00:30:00
d2e7a090-ba84-4a95-9e6a-49325b67f329,20220501SUN50,SUN,50,Anderlecht,Bruges,2022-05-02 00:30:00
791daef8-8541-43bd-95df-dcec9a0c15a6,20220501SUN51,SUN,51,Moreirense,Boavista,2022-05-02 01:00:00
4a4d0a88-f385-48a3-8319-06348a7278ba,20220501SUN52,SUN,52,New York City,San Jose Earthquakes,2022-05-02 01:00:00
f2a1920e-42c3-423f-8ec7-1be44fce645d,20220501SUN54,SUN,54,RKC Waalwijk,Groningen,2022-05-02 02:00:00
6e4616ec-fc77-48e7-870e-710c72183025,20220501SUN55,SUN,55,Roma,Bologna,2022-05-02 02:45:00
6fe35c84-52bb-4c7f-ad95-fa408911fd94,20220501SUN56,SUN,56,Marseille,Lyon,2022-05-02 02:45:00
55afb295-d8fb-4f46-922c-8ecbdbd4d691,20220501SUN57,SUN,57,Barcelona,Mallorca,2022-05-02 03:00:00
ae394977-f52f-4c55-a694-e55ab332461f,20220501SUN58,SUN,58,Corinthians,Fortaleza,2022-05-02 03:00:00
